Timestamp,Src IP,Dst IP,Src Port,Dst Port,Protocol
2025-06-27 14:59:46,100.64.22.76,104.18.32.47,54941,443,TCP
2025-06-27 14:59:46,100.64.22.76,104.18.32.47,54941,443,TCP
2025-06-27 14:59:46,100.64.22.76,104.18.32.47,54941,443,TCP
2025-06-27 14:59:46,100.64.22.76,104.18.32.47,54941,443,TCP
2025-06-27 14:59:46,100.64.22.76,104.18.32.47,54941,443,TCP
2025-06-27 14:59:46,100.64.22.76,104.18.32.47,54941,443,TCP
2025-06-27 14:59:46,100.64.22.76,104.18.32.47,54941,443,TCP
2025-06-27 14:59:46,100.64.22.76,104.18.32.47,54941,443,TCP
2025-06-27 14:59:46,104.18.32.47,100.64.22.76,443,54941,TCP
2025-06-27 14:59:46,104.18.32.47,100.64.22.76,443,54941,TCP
2025-06-27 14:59:46,104.18.32.47,100.64.22.76,443,54941,TCP
2025-06-27 14:59:46,104.18.32.47,100.64.22.76,443,54941,TCP
2025-06-27 14:59:47,100.64.22.76,3.233.158.25,55033,443,TCP
2025-06-27 14:59:47,100.64.22.76,3.233.158.25,55033,443,TCP
2025-06-27 14:59:47,100.64.22.76,3.233.158.25,55033,443,TCP
2025-06-27 14:59:47,100.64.22.76,3.233.158.25,55033,443,TCP
2025-06-27 14:59:47,100.64.22.76,3.233.158.25,55033,443,TCP
2025-06-27 14:59:47,100.64.22.76,3.233.158.25,55033,443,TCP
2025-06-27 14:59:47,100.64.22.76,3.233.158.25,55033,443,TCP
2025-06-27 14:59:47,100.64.22.76,3.233.158.25,55033,443,TCP
2025-06-27 14:59:47,100.64.22.76,3.233.158.25,55033,443,TCP
2025-06-27 14:59:47,3.233.158.25,100.64.22.76,443,55033,TCP
2025-06-27 14:59:47,3.233.158.25,100.64.22.76,443,55033,TCP
2025-06-27 14:59:47,3.233.158.25,100.64.22.76,443,55033,TCP
2025-06-27 14:59:47,3.233.158.25,100.64.22.76,443,55033,TCP
2025-06-27 14:59:47,3.233.158.25,100.64.22.76,443,55033,TCP
2025-06-27 14:59:47,3.233.158.25,100.64.22.76,443,55033,TCP
2025-06-27 14:59:47,3.233.158.25,100.64.22.76,443,55033,TCP
2025-06-27 14:59:47,3.233.158.25,100.64.22.76,443,55033,TCP
2025-06-27 14:59:51,100.64.22.76,20.42.72.131,55055,443,TCP
2025-06-27 14:59:51,100.64.22.76,20.42.72.131,55055,443,TCP
2025-06-27 14:59:51,100.64.22.76,20.42.72.131,55055,443,TCP
2025-06-27 14:59:51,100.64.22.76,20.42.72.131,55055,443,TCP
2025-06-27 14:59:51,100.64.22.76,20.42.72.131,55055,443,TCP
2025-06-27 14:59:51,100.64.22.76,20.42.72.131,55055,443,TCP
2025-06-27 14:59:51,100.64.22.76,20.42.72.131,55055,443,TCP
2025-06-27 14:59:51,100.64.22.76,20.42.72.131,55055,443,TCP
2025-06-27 14:59:51,100.64.22.76,20.42.72.131,55055,443,TCP
2025-06-27 14:59:51,100.64.22.76,20.42.72.131,55055,443,TCP
2025-06-27 14:59:51,100.64.22.76,20.42.72.131,55055,443,TCP
2025-06-27 14:59:51,100.64.22.76,20.42.72.131,55055,443,TCP
2025-06-27 14:59:51,100.64.22.76,20.42.72.131,55055,443,TCP
2025-06-27 14:59:51,20.42.72.131,100.64.22.76,443,55055,TCP
2025-06-27 14:59:51,20.42.72.131,100.64.22.76,443,55055,TCP
